,user_id,post_created,followers,friends,statuses,label,cleaned_text,emotion,emotion_encoded
0,14724376,2016-02-20 23:19:00+00:00,350,207,22207,1,bf said heard phone notification going silent last hour either ghost he cracking,fear,4
1,14724376,2016-02-21 02:44:12+00:00,350,207,22207,1,watched many terrible romantic comedy really hope im done sick soon,sadness,0
2,14724376,2016-02-21 02:53:24+00:00,350,207,22207,1,maid manhattan still give confusing lady boner ever,anger,3
3,14724376,2016-02-21 02:58:28+00:00,350,207,22207,1,know thats 2002 ralph dang ok,joy,1
4,14724376,2016-02-21 17:37:56+00:00,350,207,22207,1,threehares tongue tho,joy,1
5,14724376,2016-02-21 21:54:08+00:00,350,207,22207,1,hahaha talking math dinner table hahaha,joy,1
6,14724376,2016-02-21 23:41:31+00:00,350,207,22207,1,nonmusically talented member family,joy,1
7,14724376,2016-02-21 23:42:19+00:00,350,207,22207,1,old bedroom made pretty cool jam space though,joy,1
8,14724376,2016-02-22 17:06:54+00:00,350,207,22207,1,true bartended way 2 year university,joy,1
9,14724376,2016-02-22 18:28:31+00:00,350,207,22207,1,current mood girly idea express resulting frustration,joy,1
10,14724376,2016-02-22 18:33:26+00:00,350,207,22207,1,wan na dress like pretty girl today dont anything pretty fuck sweatpants,joy,1
11,14724376,2016-02-22 18:37:21+00:00,350,207,22207,1,trying feminine,joy,1
12,14724376,2016-02-22 19:54:27+00:00,350,207,22207,1,bubblegumrain wan na hear,joy,1
13,14724376,2016-02-22 22:25:52+00:00,350,207,22207,1,bf drink propeller growler amp locally made artisanal beard oil subtle polka dot dress shirt picked hipster,joy,1
14,14724376,2016-02-22 22:30:57+00:00,350,207,22207,1,bubblegumrain bad think loafer would look good,joy,1
15,14724376,2016-02-22 22:31:28+00:00,350,207,22207,1,freehammer hey live dartmouth next art gallery wait thats worse nevermind,joy,1
16,14724376,2016-02-22 22:35:11+00:00,350,207,22207,1,bubblegumrain yeah think scarf real boner killer unless youre lenny kravitz,joy,1
17,14724376,2016-02-22 22:37:38+00:00,350,207,22207,1,bubblegumrain admire aint afraid take scarf limit,fear,4
18,14724376,2016-02-22 22:40:17+00:00,350,207,22207,1,bubblegumrain he hoopy frood know towel,joy,1
19,14724376,2016-02-22 22:42:25+00:00,350,207,22207,1,boyfriend doubt ability pick nice clothes half wardrobe came men section hello know way around,joy,1
20,14724376,2016-02-22 22:50:00+00:00,350,207,22207,1,bubblegumrain perfected snark point making superpower,joy,1
21,14724376,2016-02-22 22:51:55+00:00,350,207,22207,1,crosco33 ask roscopcoletrain feel hoodies,joy,1
22,14724376,2016-02-22 22:53:33+00:00,350,207,22207,1,roscopcoletrain crosco33 lie,joy,1
23,14724376,2016-02-23 04:01:28+00:00,350,207,22207,1,left knee aching constantly mean either apocalypse coming im 80 year old woman,sadness,0
24,14724376,2016-02-23 17:00:01+00:00,350,207,22207,1,kate logic lot today ill move glacial pace help,joy,1
25,14724376,2016-02-23 20:25:30+00:00,350,207,22207,1,im point recovering cold think jump back routine im winded grocery shopping,joy,1
26,14724376,2016-02-23 20:26:01+00:00,350,207,22207,1,go work really want go bed,joy,1
27,14724376,2016-02-24 00:14:05+00:00,350,207,22207,1,getting encouraging text bf applying job im like nooooo dont make stuff,joy,1
28,14724376,2016-02-24 00:55:21+00:00,350,207,22207,1,bus stop littered couple im stomping ambiance like giant cockblocking dinosaur,anger,3
29,14724376,2016-02-24 00:56:21+00:00,350,207,22207,1,oh cuddling pardon hack lungful phlegm,anger,3
30,14724376,2016-02-24 14:20:36+00:00,350,207,22207,1,rt gpsforthebrain discussion neurosurgery case round spinal level amp waist appears generational g,joy,1
31,14724376,2016-02-24 14:20:37+00:00,350,207,22207,1,rt gpsforthebrain resident inguinal ligament sr surgeon waistline inguinal ligament surgeon 2 thats ca,joy,1
32,14724376,2016-02-24 14:23:47+00:00,350,207,22207,1,bf asked knew favourite game amp baffled he selfactualized know single favourite anything,joy,1
33,14724376,2016-02-24 14:26:21+00:00,350,207,22207,1,cant pick single favourite anything im psychological mess,joy,1
34,14724376,2016-02-24 14:29:49+00:00,350,207,22207,1,roscopcoletrain favourite ham mom also make mean applestuffed pork loin,anger,3
35,14724376,2016-02-24 14:33:38+00:00,350,207,22207,1,roscopcoletrain bacon seems clich though yes weve established delicious let move,joy,1
36,14724376,2016-02-24 14:35:09+00:00,350,207,22207,1,tried grown plan healthy meal rest week im getting called work wont get time cook,joy,1
37,14724376,2016-02-24 14:36:11+00:00,350,207,22207,1,adulthood hard,joy,1
38,14724376,2016-02-24 14:41:33+00:00,350,207,22207,1,watching daycare try get toddler bus like watching herd cat,anger,3
